羅馬字	漢字	頻率
sing	醒	27
siu	修	2
siu	守	55
siu	宿	5
siu	手	275
siu	收	111
siu	獸	6
siu	鏽	2
siu	首	30
so	唆	2
so	鎖	8
soh	啥	275
soh	宿	8
soh	索	7
soh	速	4
song	送	52
song	鬆	1
su	塑	4
su	愫	20
su	數	38
su	甦	5
su	疏	1
su	穌	1277
su	素	11
su	蔬	2
su	蘇	2
su	訴	11
sæ	賽	132
sæn	三	110
sæn	山	77
sæn	散	34
sæn	省	21
sæn	舢	3
sæn	衫	4
sô	所	517
sô	捨	13
sô	沙	19
sô	舍	19
sô	赦	57
sôh	索	1
sông	傷	26
sông	喪	15
sông	孀	16
sông	桑	2
sông	賞	6
sön	算	153
sön	酸	4
ta	帶	170
ta	戴	4
tah	搭	8
tang	打	191
tao	倒	134
tao	刀	24
tao	到	1094
tao	島	8
tao	搗	4
tao	禱	86
te	堆	1
te	對	147
te	𠡒	10
teh	得	1255
teh	德	6
teh	掇	5
teh	答	194
ten	𡍲	1
teng	凳	12
teng	燈	20
teng	登	1
teng	等	1982
teng	頂	36
teng	頓	27
teo	兜	2
teo	抖	6
teo	斗	6
teo	鬥	9
ti	低	16
ti	帝	55
ti	底	95
ti	抵	12
ti	渧	2
tia	爹	254
tiao	刁	1
tiao	吊	6
tiao	釣	2
tiao	雕	5
tiao	鳥	13
tih	的	414
tih	跌	76
tin	典	13
tin	店	2
tin	殿	1
tin	癲	3
tin	顛	6
tin	點	115
ting	丁	4
ting	叮	12
ting	盯	13
ting	釘	45
ting	頂	86
tiu	丟	66
to	多	386
to	朵	30
to	躲	6
toh	督	199
toh	篤	2
tong	冬	6
tong	懂	4
tong	東	358
tong	棟	6
ts	之	50
ts	仔	179
ts	址	1
ts	子	802
ts	指	58
ts	支	6
ts	旨	29
ts	枝	20
ts	止	4
ts	籽	2
ts	紫	6
ts	肢	2
ts	至	7
ts	致	2
tsa	債	13
tsah	扎	34
tsah	摘	6
tsah	窄	3
tsah	紮	1
tsah	責	14
tsah	隻	77
tsang	㬹	1
tsang	爭	16
tsao	嘲	3
tsao	早	23
tsao	棗	1
tsao	糟	47
tsao	罩	3
tsao	遭	199
tse	追	5
tse	醉	7
tseng	尊	37
tseng	憎	9
tseo	奏	1
tseo	走	794
tsi	嚌	2
tsi	姊	21
tsi	擠	4
tsi	濟	2
tsi	祭	161
tsi	𣥼	22
tsia	借	18
tsia	者	81
tsia	藉	1
tsiah	着	4
tsiang	仗	10
tsiang	將	95
tsiang	帳	13
tsiang	張	6
tsiang	漲	1
tsiang	漿	1
tsiang	粻	2
tsiang	脹	1
tsiang	賬	44
tsiang	醬	1
tsiang	長	45
tsiang	雀	4
tsiao	招	38
tsiao	朝	11
tsiao	照	130
tsiao	礁	1
tsiao	詔	2
tsih	即	22
tsih	只	233
tsih	執	8
tsih	接	115
tsih	摺	2
tsih	炙	1
tsih	積	4
tsih	節	58
tsih	職	10
tsih	脊	1
tsih	質	1
tsih	蹟	42
tsin	剪	2
tsin	尖	3
tsin	沾	1
tsin	節	7
tsin	薦	1
tsing	井	4
tsing	整	4
tsing	枕	1
tsing	正	160
tsing	浸	1
tsing	症	5
tsing	真	155
tsing	睛	78
tsing	精	4
tsing	證	120
tsing	進	280
tsing	針	3
tsiu	周	46
tsiu	咒	36
tsiu	晝	4
tsiu	酒	62
tso	做	822
tsoh	足	34
tsong	宗	66
tsong	總	293
tsu	祖	70
tsu	租	7
tsu	阻	19
tsæ	再	158
tsæ	宰	7
tsæ	災	6
tsæn	嶄	1
tsæn	斬	22
tsæn	盞	17
tsæn	讚	66
tsæn	趲	4
tsô	榨	2
tsô	詐	8
tsô	遮	16
tsôh	作	32
tsôh	摘	1
tsôh	斫	9
tsông	葬	23
tsông	蟑	2
tsông	裝	12
tsʽ	刺	22
tsʽ	次	8
tsʽ	此	7
tsʽ	雌	2
tsʽ	齒	13
tsʽa	差	195
tsʽah	冊	5
tsʽah	察	3
tsʽah	拆	12
tsʽang	撐	6
tsʽao	吵	14
tsʽao	抄	2
tsʽao	草	17
tsʽe	催	3
tsʽeh	撮	12
tsʽeh	測	1
tsʽeng	寸	1
tsʽeng	忖	78
tsʽeng	村	30
tsʽeng	襯	1
tsʽeo	湊	28
tsʽia	且	190
tsʽia	笡	2
tsʽiah	綽	1
tsʽiang	搶	6
tsʽiang	槍	7
tsʽih	七	52
tsʽih	切	40
tsʽin	千	61
tsʽin	淺	2
tsʽin	籤	1
tsʽin	遷	3
